      0: global: energy port connected. master: system.energy_mgmt, slave: system.cpu
      0: system.energy_mgmt: Energy Management module initialized!
      0: system.energy_mgmt: Energy profile: ./profile/energy_prof (Time unit: 1000000 ticks)
      0: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 7.57149
      0: system.energy_mgmt.harvest_module: basic energy harvest module is used in this system.
      0: system.energy_mgmt: Energy 1 is consumed by xxx. Energy remained: 6.57149
      0: system.cpu: AtomicEngySimpleCPU handleMsg called at 0, msg.type=1
1000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 14.143
2000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 21.7145
3000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 29.286
4000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 36.8574
5000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 44.4289
6000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 52.0004
7000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 59.5719
8000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 67.1434
9000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 74.7149
10000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 82.2864
11000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 89.8579
12000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 97.4293
13000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 105.001
14000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 112.572
15000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 120.144
16000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 127.715
17000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 135.287
18000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 142.858
19000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 150.43
20000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 158.001
21000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 165.573
22000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 173.144
23000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 180.716
